district_code,district_name,category,student_group,2021_2022_student_count,2021_2022_attendance_rate,2020_2021_student_count,2020_2021_attendance_rate,2019_2020_student_count,2019_2020_attendance_rate,reporting_period,date_update
70011,berlin school district,high needs,students without high needs,0.003470160814768173,0.9039748130657217,0.003553776315683381,0.9218230206254163,0.0036156476100923387,0.8257397839361209,Jun-22,2022-07-22
70011,berlin school district,high needs,students with high needs,0.0016411302009934734,0.7748917748917745,0.001826274158825379,0.8123752495009984,0.001695695451523175,0.7256928135274778,Jun-22,2022-07-22
80011,bethany school district,unknown,all students,0.0007416069483173918,0.9197166469893743,0.0007176088306201268,0.9165003326679977,0.0006963760903007007,0.7994363550962893,Jun-22,2022-07-22
80011,bethany school district,students with disabilities,students with disabilities,6.796397909108173e-05,0.8972845336481696,9.675624682518565e-05,0.8978709248170329,9.04895484571532e-05,0.776890558947863,Jun-22,2022-07-22
80011,bethany school district,free/reduced lunch,free/reduced price meal eligible,5.996821684507211e-05,0.8862652499016135,9.27247365408029e-05,0.7817697937458417,9.63910407478371e-05,0.7209957726632226,Jun-22,2022-07-22
80011,bethany school district,race/ethnicity,all other races,4.3976692353052873e-05,0.9161747343565523,0.0,0.8027307585542118,5.508059471304977e-05,0.8619069985908876,Jun-22,2022-07-22
80011,bethany school district,race/ethnicity,white,0.0005736959411511899,0.9244391971664698,0.0005845689912354966,0.9184963406520299,0.0005822805726808119,0.8046031000469709,Jun-22,2022-07-22
80011,bethany school district,high needs,students without high needs,0.0005197245459906249,0.9295552931916569,0.0005180490715431815,0.939121756487026,0.0005114626651926051,0.8168154062940349,Jun-22,2022-07-22
80011,bethany school district,high needs,students with high needs,0.0001699099477277043,0.8953168044077131,0.0001914967385081799,0.8549567531603461,0.00018491342510809565,0.7510568341944577,Jun-22,2022-07-22
90011,bethel school district,unknown,all students,0.006160734810550408,0.8748524203069654,0.0061520846939680535,0.8729208250166338,0.006058865418435475,0.794739314232034,Jun-22,2022-07-22
90011,bethel school district,students with disabilities,students with disabilities,0.0007695921161784254,0.8075560802833532,0.0007478451577529973,0.7508316699933468,0.0007612925054982236,0.7332080789102866,Jun-22,2022-07-22
90011,bethel school district,free/reduced lunch,free meal eligible,0.0013312944139606008,0.8158205430932703,0.001463438233230933,0.7747837658017303,0.001518650682802658,0.7538750587130112,Jun-22,2022-07-22
90011,bethel school district,free/reduced lunch,reduced price meal eligible,0.00039379129061597356,0.887052341597796,0.00046967094813058863,0.8636061210911516,0.0004229402808323465,0.8017848755284174,Jun-22,2022-07-22
90011,bethel school district,free/reduced lunch,free/reduced price meal eligible,0.0017650645158066225,0.8331365604092875,0.0019331091813615214,0.7967398536260815,0.0019415909636350045,0.7642085486143735,Jun-22,2022-07-22
